COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;BARRIO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
31000210;CALLE;DEL;ABAD JUAN CATALAN;ABAD JUAN CATALÁN;19;2;-;-;6;76
00000200;CALLE;DE LA;ABADA;ABADA;01;6;1;11;2;14
00000300;CALLE;DE LOS;ABADES;ABADES;01;2;1;13;2;24
00000400;CALLE;DE LA;ABADESA;ABADESA;06;5;1;9;6;8
00000600;CALLE;DE;ABALOS;ÁBALOS;15;6;1;5;4;4
00000700;CALLE;DEL;ABANICO;ABANICO;20;3;1;5;2;10
00000800;CALLE;DE;ABANTOS;ABANTOS;05;3;1;21;2;4
00000900;CALLE;DEL;ABARDERO;ABARDERO;08;6;1;5;4;12
00001000;CALLE;DE;ABARZUZA;ABÁRZUZA;16;4;19;1675;4;1676
00001100;CALLE;DE;ABAY;ABAY;17;1;1;11;2;10
00001150;CALLE;DE;ABDON TERRADAS;ABDÓN TERRADAS;07;1;1;9;2;12
00001200;CALLE;DEL;ABEDUL;ABEDUL;05;5;1;27;2;24
00001300;CALLE;DE;ABEGONDO;ABEGONDO;16;4;17;1789;16;1790
00001301;CALLE;DEL;ABEJARUCO;ABEJARUCO;09;7;1;21;2;26
00001400;CALLE;DE LA;ABEJUELA;ABEJUELA;10;4;1;17;2;18
00001500;CALLE;DE;ABEL;ABEL;06;1;1;29;2;28
00002665;CALLE;DE LAS;ABELIAS;ABELIAS;16;1;1;1;2;22
00001600;CALLE;DE;ABELLA;ABELLA;11;6;1;13;2;28
00001800;CALLE;DE;ABERTURA;ABERTURA;16;4;15;1867;2;1868
00002318;CALLE;DEL;ABETAL;ABETAL;08;6;1;7;6;10
00001900;CALLE;DEL;ABETO;ABETO;09;5;1;7;2;12
00002100;CALLE;DE;ABIZANDA;ABIZANDA;16;4;1;1995;2;1996
00002300;CALLE;DEL;ABOLENGO;ABOLENGO;11;4;1;35;2;30
00002400;AVENIDA;DE;ABRANTES;ABRANTES;11;5;-;-;168;168
00002400;AVENIDA;DE;ABRANTES;ABRANTES;11;7;1;305;2;122
00002500;CALLE;DE;ABRIL;ABRIL;20;6;1;63;2;64
00002600;CALLE;DE;ABTAO;ABTAO;03;1;1;31;2;48
00002725;RONDA;DE LA;ABUBILLA;ABUBILLA;16;2;1;51;6;52
00002800;CALLE;DE;ABUÑOL;ABUÑOL;16;4;5;2235;6;8
00002900;PASEO;DE LAS;ACACIAS;ACACIAS;02;2;1;69;2;62
00003000;CALLE;DE LA;ACADEMIA;ACADEMIA;03;5;1;11;2;12
00003200;CALLE;DE;ACADEMOS;ACADEMOS;16;1;1;67;2;40
00003250;CALLE;DE;ACAMAR;ACAMAR;09;7;1;31;6;18
00003400;CALLE;DEL;ACANTILADO;ACANTILADO;09;1;1;17;2;6
00002881;CALLE;DE LA;ACANTITA;ACANTITA;17;3;1;7;2;14
00000873;CALLE;DEL;ACANTO;ACANTO;02;7;1;19;2;26
00001084;CARRETERA;DE;ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;13;1;9;13;8;20
00906015;CARRETERA;DE;ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20;6;-;-;10;10
00003700;CALLE;DE;ACEBEDO;ACEBEDO;16;4;5;2127;4;2048
00003750;CALLE;DE;ACEBES;ACEBES;17;1;1;5;2;8
00003800;CALLE;DEL;ACEBO;ACEBO;05;4;1;23;2;24
00546601;CALLE;DEL;ACEBUCHE;ACEBUCHE;09;7;1;1;2;18
00905704;CAMINO;DE LOS;ACEITEROS;ACEITEROS;18;1;101;117;-;-
00003900;CALLE;DE;ACENTEJO;ACENTEJO;15;2;3;9;2;10
00906106;CALLE;DE;ACEREIRO;ACEREIRO;10;7;1;5;2;8
00004100;CALLE;DE;ACEUCHAL;ACEUCHAL;11;3;1;15;2;14
00004100;CALLE;DE;ACEUCHAL;ACEUCHAL;11;4;17;19;16;18
00000928;PLAZA;DE LA;ACHICORIA;ACHICORIA;10;3;1;3;2;4
00004200;CALLE;DE;ACHURI;ACHURI;15;2;1;43;2;50
00000901;CALLE;DE;ACONCAGUA;ACONCAGUA;16;3;-;-;2;4
00004400;CALLE;DEL;ACONITO;ACÓNITO;06;5;-;-;2;16B
00004450;CALLE;DE LA;ACUARELA;ACUARELA;21;2;1;11;2;12
00004500;CALLE;DE;ACUARIO;ACUARIO;21;3;1;31;2;38
00004600;CALLE;DEL;ACUEDUCTO;ACUEDUCTO;06;1;1;7;2;12
31000190;CALLE;DEL;ACUEDUCTO DE SEGOVIA;ACUEDUCTO DE SEGOVIA;11;6;5;5C;6;6
00004700;CALLE;DEL;ACUERDO;ACUERDO;01;5;1;41;2;38
31000289;CALLE;DE;ADAM SMITH;ADAM SMITH;08;8;-;-;2;4
00004750;CALLE;DE;ADANERO;ADANERO;10;5;1;7;2;16
00004900;CALLE;DE;ADELA BALBOA;ADELA BALBOA;06;1;1;7;2;16
00005000;CALLE;DE LAS;ADELFAS;ADELFAS;03;2;1;15;2;40
00389800;CALLE;DE;ADELINA PATTI;ADELINA PATTI;08;1;1;13;-;-
00005200;CALLE;DE;ADEMUZ;ADEMUZ;11;5;1;9;2;12
31000496;CALLE;DE;ADOLFO BIOY CASARES;ADOLFO BIOY CASARES;18;1;1;9;2;2
31000486;CALLE;DE;ADOLFO MARSILLACH;ADOLFO MARSILLACH;18;1;15;23;4;56
00000969;CALLE;DE;ADONIS;ADONIS;10;7;1;1;2;12
00005300;CALLE;DE;ADORA;ADORA;12;3;1;11;2;16
00005400;CALLE;DE;ADRA;ADRA;13;5;1;7;2;4
00005500;PASAJE;DE;ADRA;ADRA;13;5;1;1;6;6
00005600;CALLE;DE;ADRADA DE HAZA;ADRADA DE HAZA;13;5;1;13;2;36
00005700;CALLE;DE;ADRIAN ANDRES;ADRIÁN ANDRÉS;09;4;1;31;2;16
00005900;CALLE;DE;ADRIAN PULIDO;ADRIÁN PULIDO;06;1;1;15;2;20
31000084;CALLE;DE;ADRIANO DE UTRECHT;ADRIANO DE UTRECHT;16;6;1;7;-;-
00006000;CALLE;DE LA;ADUANA;ADUANA;01;6;1;33;2;18
00006300;CALLE;DE LA;AERONAVE;AERONAVE;21;4;1;49;2;26
00001126;CAMINO;DEL;AEROPUERTO;AEROPUERTO;21;2;7;11;10;20
00001006;CALLE;DEL;AFECTO;AFECTO;17;4;1;15;2;20
00001022;CALLE;DE LOS;AFLUENTES;AFLUENTES;17;1;1;27;2;12
00006600;CALLE;DE;AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;08;6;1;23;2;10
00006700;CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;08;6;1;43;2;56
00006800;CALLE;DE;AGAMI;AGAMI;15;3;1;1;2;4
00007000;CALLE;DE;AGASTIA;AGASTIA;15;4;1;7;2;10
00007000;CALLE;DE;AGASTIA;AGASTIA;15;5;9;55;12;56B
00007000;CALLE;DE;AGASTIA;AGASTIA;15;6;61;125;58;118
00007000;CALLE;DE;AGASTIA;AGASTIA;15;7;127;135;120;128
00007100;CALLE;DE;AGATA;ÁGATA;17;1;1;5;2;4
00007200;PLAZA;DE;AGATA;ÁGATA;17;1;1;11;2;8
31001351;CALLE;DE;AGATHA CHRISTIE;AGATHA CHRISTIE;16;6;1;269;2;56
00007300;CALLE;DEL;AGAVE;ÁGAVE;06;5;1;33;2;24
00002826;CALLE;DE;AGES;AGÉS;08;6;1;1;2;4B
00007400;CALLE;DE;AGILA;AGILA;10;2;1;1;2;12
00007600;CALLE;DE;AGOSTO;AGOSTO;20;6;1;71;2;70
00007700;CALLE;DEL;AGRACEJO;AGRACEJO;06;5;1;19;2;22
00007800;CALLE;DE;AGRAMUNT;AGRAMUNT;21;4;1;3;2;4
00007850;CALLE;DE;AGREDA;ÁGREDA;16;4;1;11;2;16
00007900;CALLE;DEL;AGUACATE;AGUACATE;11;6;1;47;2;64
00008000;PLAZA;DEL;AGUADOR;AGUADOR;11;7;-;-;2;6
00008100;CALLE;DE;AGUADULCE;AGUADULCE;21;4;1;15;2;20
00008200;CALLE;DE;AGUARON;AGUARÓN;09;5;7;35;4;58
00008300;CALLE;DE LAS;AGUAS;AGUAS;01;1;1;17;2;14
00008400;CALLE;DE;AGUAVIVA;AGUAVIVA;20;6;1;5;2;8
00008500;CALLE;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;11;3;1;7;2;10
00008600;PLAZA;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;11;3;1;5K;2;4
00000838;CALLE;DE;AGUETOL;AGUETOL;21;4;1;13;2;14
00008700;CALLE;DEL;AGUILA;ÁGUILA;01;1;1;27;2;22
00008800;CALLE;DE;AGUILAFUENTE;AGUILAFUENTE;09;4;1;131;36;36
00008900;CALLE;DE;AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;09;4;1;29;2;28
00009100;CALLE;DE;AGUILAR DEL RIO;AGUILAR DEL RÍO;11;6;1;23;2;18
00009200;CALLE;DE LAS;AGUILEÑAS;AGUILEÑAS;06;4;1;15;2;6
00009300;CALLE;DE;AGUILON;AGUILÓN;02;3;1;17;2;4
00009500;CALLE;DE;AGUIRRE;AGUIRRE;04;1;1;5;2;2
00009600;CALLE;DE LA;AGUJA;AGUJA;20;3;1;1;2;16
00009900;CALLE;DE;AGUSTIN CALVO;AGUSTÍN CALVO;16;3;3;53;4;50
00009800;CALLE;DE;AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;07;5;1;25;2;6
00010200;CALLE;DE;AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;05;6;1;33;2;58
